IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CHE,Switzerland,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,10.01,,,9.77,,10.29,10.01 [9.77 – 10.29],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DNK,Denmark,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,10.02,,,9.11,,11.06,10.02 [9.11 – 11.06],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,10.07,,,9.71,,10.4,10.07 [9.71 – 10.4],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ESP,Spain,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,10.08,,,9.88,,10.3,10.08 [9.88 – 10.3],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SMR,San Marino,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,10.81,,,8.98,,12.69,10.81 [8.98 – 12.69],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LTU,Lithuania,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,11.12,,,10.11,,12.38,11.12 [10.11 – 12.38],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,FRA,France,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,11.23,,,11.05,,11.43,11.23 [11.05 – 11.43],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,NLD,Netherlands,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,11.49,,,11.14,,11.97,11.49 [11.14 – 11.97],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DEU,Germany,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,11.70,,,11.51,,11.9,11.7 [11.51 – 11.9],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BEL,Belgium,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,12.16,,,11.75,,12.58,12.16 [11.75 – 12.58],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AUT,Austria,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,12.68,,,12.37,,13.09,12.68 [12.37 – 13.09],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LVA,Latvia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,12.84,,,11.26,,14.3,12.84 [11.26 – 14.3],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,13.30,,,9.85,,17.24,13.3 [9.85 – 17.24],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MLT,Malta,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,13.79,,,12.66,,15.27,13.79 [12.66 – 15.27],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,UKR,Ukraine,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,14.24,,,10.76,,19.97,14.24 [10.76 – 19.97],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CYP,Cyprus,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,15.38,,,13.7,,17.17,15.38 [13.7 – 17.17],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ROU,Romania,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,15.60,,,14.8,,16.43,15.6 [14.8 – 16.43],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GRC,Greece,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,15.69,,,14.48,,16.96,15.69 [14.48 – 16.96],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ITA,Italy,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,15.97,,,15.75,,16.19,15.97 [15.75 – 16.19],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BLR,Belarus,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,16.09,,,13.87,,18.4,16.09 [13.87 – 18.4],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HUN,Hungary,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,17.25,,,16.36,,18.16,17.25 [16.36 – 18.16],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CZE,Czechia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,17.50,,,17.11,,18.04,17.5 [17.11 – 18.04],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVN,Slovenia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,17.77,,,16.81,,18.74,17.77 [16.81 – 18.74],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HRV,Croatia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,18.98,,,17.51,,20.44,18.98 [17.51 – 20.44],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVK,Slovakia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,19.08,,,18.2,,20.09,19.08 [18.2 – 20.09],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ALB,Albania,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,19.76,,,17.97,,21.9,19.76 [17.97 – 21.9],,,EN,2022-08-12 00:00:00
